"","sci","common","code"
"1","Struthio camelus","Common Ostrich","ostric2"
"2","Struthio molybdophanes","Somali Ostrich","ostric3"
"3","Struthio camelus/molybdophanes","Common/Somali Ostrich","y00934"
"4","Rhea americana","Greater Rhea","grerhe1"
"5","Rhea pennata","Lesser Rhea","lesrhe2"
"6","Rhea pennata tarapacensis/garleppi","Lesser Rhea (Puna)","lesrhe4"
"7","Rhea pennata pennata","Lesser Rhea (Darwin's)","lesrhe3"
"8","Nothocercus julius","Tawny-breasted Tinamou","tabtin1"
"9","Nothocercus bonapartei","Highland Tinamou","higtin1"
"10","Nothocercus bonapartei [bonapartei Group]","Highland Tinamou (South American)","higtin2"
"11","Nothocercus bonapartei frantzii","Highland Tinamou (Costa Rican)","higtin3"
"12","Nothocercus nigrocapillus","Hooded Tinamou","hootin1"
"13","Tinamus tao","Gray Tinamou","grytin1"
"14","Tinamus solitarius","Solitary Tinamou","soltin1"
"15","Tinamus osgoodi","Black Tinamou","blatin1"
"16","Tinamus major","Great Tinamou","gretin1"
"17","Tinamus guttatus","White-throated Tinamou","whttin1"
"18","Tinamus sp.","Tinamus sp.","tinamu1"
"19","Crypturellus cinereus","Cinereous Tinamou","cintin1"
"20","Crypturellus berlepschi","Berlepsch's Tinamou","bertin1"
"21","Crypturellus soui","Little Tinamou","littin1"
"22","Crypturellus ptaritepui","Tepui Tinamou","teptin1"
"23","Crypturellus obsoletus","Brown Tinamou","brotin1"
"24","Crypturellus obsoletus castaneus","Brown Tinamou (castaneus)","brntin1"
"25","Crypturellus obsoletus [obsoletus Group]","Brown Tinamou (Brown)","brntin2"
"26","Crypturellus undulatus","Undulated Tinamou","undtin1"
"27","Crypturellus transfasciatus","Pale-browed Tinamou","pabtin1"
"28","Crypturellus strigulosus","Brazilian Tinamou","bratin1"
"29","Crypturellus duidae","Gray-legged Tinamou","gyltin1"
"30","Crypturellus erythropus","Red-legged Tinamou","reltin1"
"31","Crypturellus noctivagus","Yellow-legged Tinamou","yeltin1"
"32","Crypturellus noctivagus zabele","Yellow-legged Tinamou (zabele)","yeltin2"
"33","Crypturellus noctivagus noctivagus","Yellow-legged Tinamou (noctivagus)","yeltin3"
"34","Crypturellus atrocapillus","Black-capped Tinamou","blctin1"
"35","Crypturellus boucardi","Slaty-breasted Tinamou","slbtin1"
"36","Crypturellus kerriae","Choco Tinamou","chotin1"
"37","Crypturellus variegatus","Variegated Tinamou","vartin1"
"38","Crypturellus cinnamomeus","Thicket Tinamou","thitin1"
"39","Crypturellus cinnamomeus occidentalis","Thicket Tinamou (occidentalis)","thitin2"
"40","Crypturellus cinnamomeus [cinnamomeus Group]","Thicket Tinamou (cinnamomeus Group)","thitin3"
"41","Crypturellus brevirostris","Rusty Tinamou","rustin1"
"42","Crypturellus bartletti","Bartlett's Tinamou","bartin2"
"43","Crypturellus parvirostris","Small-billed Tinamou","smbtin1"
"44","Crypturellus casiquiare","Barred Tinamou","bartin1"
"45","Crypturellus tataupa","Tataupa Tinamou","tattin1"
"46","Crypturellus sp.","Crypturellus sp.","cryptu1"
"47","Rhynchotus rufescens","Red-winged Tinamou","rewtin1"
"48","Rhynchotus maculicollis","Huayco Tinamou","huatin1"
"49","Nothoprocta taczanowskii","Taczanowski's Tinamou","tactin1"
"50","Nothoprocta ornata","Ornate Tinamou","orntin1"
